,ts_code,name,enname,list_status,list_date,delist_date
0,000001.SZ,平安银行,"Ping An Bank Co., Ltd.",L,19910403,
1,000002.SZ,万科A,"China Vanke Co.,Ltd.",L,19910129,
2,000004.SZ,国农科技,"Shenzhen Cau Technology Co.,Ltd.",L,19910114,
3,000005.SZ,世纪星源,Shenzhen Fountain Corporation,L,19901210,
4,000006.SZ,深振业A,"Shenzhen Zhenye(Group) Co.,Ltd.",L,19920427,
5,000007.SZ,全新好,"Shenzhen Quanxinhao Co.,Ltd",L,19920413,
6,000008.SZ,神州高铁,"China High Speed Railway Technology Co., Ltd.",L,19920507,
7,000009.SZ,中国宝安,"China Baoan Group Co.,Ltd.",L,19910625,
8,000010.SZ,*ST美丽,"Shenzhen Ecobeauty Co.,Ltd.",L,19951027,
9,000011.SZ,深物业A,Shenzhen Properties & Resources Development (Group) Ltd.,L,19920330,
10,000012.SZ,南玻A,"CSG Holding Co.,Ltd.",L,19920228,
11,000014.SZ,沙河股份,"Shahe Industrial Co.,Ltd.",L,19920602,
12,000016.SZ,深康佳A,"Konka Group Co.,Ltd",L,19920327,
13,000017.SZ,*ST中华A,Shenzhen China Bicycle Company (Holdings) Limited,L,19920331,
14,000019.SZ,深粮控股,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",L,19921012,
15,000020.SZ,深华发A,"Shenzhen Zhongheng Huafa Co.,Ltd.",L,19920428,
16,000021.SZ,深科技,"Shenzhen Kaifa Technology Co., Ltd.",L,19940202,
17,000023.SZ,深天地A,"Shenzhen Universe (Group) Co.,Ltd",L,19930429,
18,000025.SZ,特力A,"Shenzhen Tellus Holding Co.,Ltd",L,19930621,
19,000026.SZ,飞亚达,"FIYTA Precision Technology Co., Ltd.",L,19930603,
20,000027.SZ,深圳能源,"Shenzhen Energy Group Co., Ltd.",L,19930903,
21,000028.SZ,国药一致,China National Accord Medicines Corporation Ltd.,L,19930809,
22,000029.SZ,深深房A,"Shenzhen Special Economic Zone Real Estate&Properties (Group).Co.,Ltd.",L,19930915,
23,000030.SZ,富奥股份,FAWER Automotive Parts Limited Company,L,19930929,
24,000031.SZ,大悦城,"Grandjoy Holdings Group Co.,Ltd.",L,19931008,
25,000032.SZ,深桑达A,"Shenzhen Sed Industry Co.,Ltd.",L,19931028,
26,000034.SZ,神州数码,"Digital China Group Co.,Ltd.",L,19940509,
27,000035.SZ,中国天楹,China Tianying Inc.,L,19940408,
28,000036.SZ,华联控股,China Union Holdings Ltd.,L,19940617,
29,000037.SZ,深南电A,"Shenzhen Nanshan Power Co.,Ltd.",L,19940701,
30,000038.SZ,深大通,"Shenzhen Capstone Industrial Co., Ltd.",L,19940808,
31,000039.SZ,中集集团,"China International Marine Containers (Group) Co., Ltd",L,19940408,
32,000040.SZ,东旭蓝天,"Tunghsu Azure Renewable Energy Co., Ltd.",L,19940808,
33,000042.SZ,中洲控股,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",L,19940921,
34,000045.SZ,深纺织A,"Shenzhen Textile (Holdings) Co.,Ltd",L,19940815,
35,000046.SZ,泛海控股,"Oceanwide Holdings Co., Ltd.",L,19940912,
36,000048.SZ,京基智农,"SHENZHEN KINGKEY SMART AGRICULTURE TIMES CO.,LTD",L,19941101,
37,000049.SZ,德赛电池,"Shenzhen Desay Battery Technology Co., Ltd.",L,19950320,
38,000050.SZ,深天马A,"Tianma Microelectronics Co.,Ltd.",L,19950315,
39,000055.SZ,方大集团,"China Fangda Group Co.,Ltd.",L,19960415,
40,000056.SZ,皇庭国际,"Shenzhen Wongtee International Enterprise Co., Ltd.",L,19960708,
41,000058.SZ,深赛格,"Shenzhen Seg Co.,Ltd.",L,19961226,
42,000059.SZ,华锦股份,"North Huajin Chemical Industries Co.,Ltd",L,19970130,
43,000060.SZ,中金岭南,Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,L,19970123,
44,000061.SZ,农产品,"Shenzhen Agricultural Products Group Co.,Ltd.",L,19970110,
45,000062.SZ,深圳华强,"Shenzhen Huaqiang Industry Co.,Ltd",L,19970130,
46,000063.SZ,中兴通讯,ZTE Corporation,L,19971118,
47,000065.SZ,北方国际,NORINCO International Cooperation Ltd.,L,19980605,
48,000066.SZ,中国长城,"China Greatwall Technology Group Co., Ltd.",L,19970626,
49,000068.SZ,华控赛格,"Shenzhen Huakong Seg Co.,Ltd.",L,19970611,
50,000069.SZ,华侨城A,"Shenzhen Overseas Chinese Town Co.,Ltd",L,19970910,
51,000070.SZ,特发信息,"Shenzhen SDG Information Co., Ltd.",L,20000511,
52,000078.SZ,海王生物,"Shenzhen Neptunus Bioengineering Co.,Ltd",L,19981218,
53,000088.SZ,盐田港,"Shenzhen Yan Tian Port Holdings Co.,Ltd",L,19970728,
54,000089.SZ,深圳机场,"Shenzhen Airport Co.,Ltd.",L,19980420,
55,000090.SZ,天健集团,"Shenzhen Tagen Group Co., Ltd.",L,19990721,
56,000096.SZ,广聚能源,"Shenzhen Guangju Energy Co.,Ltd.",L,20000724,
57,000099.SZ,中信海直,"CITIC Offshore Helicopter Co., Ltd.",L,20000731,
58,000100.SZ,TCL科技,TCL Technology Group Corporation,L,20040130,
59,000150.SZ,宜华健康,"Yihua Healthcare Co.,Ltd.",L,20000807,
60,000151.SZ,中成股份,China National Complete Plant Import & Export Corporation Limited,L,20000906,
61,000153.SZ,丰原药业,"Anhui Fengyuan Pharmaceutical Co., Ltd.",L,20000920,
62,000155.SZ,川能动力,SICHUAN NEW ENERGYPOWER COMPANY LIMITED,L,20000926,
63,000156.SZ,华数传媒,"Wasu Media Holding Co.,Ltd",L,20000906,
64,000157.SZ,中联重科,"Zoomlion Heavy Industry Science and Technology Co., Ltd.",L,20001012,
65,000158.SZ,常山北明,"Shijiazhuang ChangShan BeiMing Technology Co., Ltd",L,20000724,
