code,close,pchg
000001.XSHE,9.7,-0.039175257731958624
000002.XSHE,15.3,-0.021568627450980427
000006.XSHE,4.32,0.03240740740740744
000012.XSHE,5.19,0.48747591522157974
000016.XSHE,2.09,0.028708133971291794
000021.XSHE,9.57,0.037617554858934144
000024.XSHE,26.33,0.160653247246487
000027.XSHE,10.67,-0.12839737582005617
000028.XSHE,16.21,0.06107341147439849
000029.XSHE,8.05,0.24099378881987565
000032.XSHE,6.75,0.06074074074074076
000033.XSHE,5.5,0.20363636363636362
000036.XSHE,4.43,0.16478555304740428
000039.XSHE,19.46,-0.005138746145940454
000040.XSHE,8.16,0.05882352941176472
000042.XSHE,13.23,0.009826152683295453
000046.XSHE,10.91,0.048579285059578314
000050.XSHE,7.73,0.19922380336351875
000059.XSHE,10.27,0.28140214216163595
000060.XSHE,9.53,0.01783840503672618
000062.XSHE,8.0,0.02499999999999991
000063.XSHE,14.11,-0.08646350106307576
000066.XSHE,4.89,0.17382413087934578
000069.XSHE,9.64,0.16493775933609967
000070.XSHE,4.81,0.12889812889812902
000078.XSHE,2.75,0.13454545454545452
000088.XSHE,9.02,0.06651884700665178
000089.XSHE,10.11,0.12660731948565784
000090.XSHE,4.62,0.12770562770562766
000096.XSHE,9.48,0.1613924050632911
000099.XSHE,7.87,0.16010165184243963
000151.XSHE,9.64,0.150414937759336
000155.XSHE,8.77,0.32611174458380865
000157.XSHE,4.39,0.06605922551252852
000158.XSHE,5.68,0.3151408450704225
000400.XSHE,7.6,0.2065789473684212
000401.XSHE,13.9,0.19496402877697827
000402.XSHE,12.43,-0.06194690265486724
000407.XSHE,6.45,0.29612403100775175
000410.XSHE,25.01,0.12594962015193922
000416.XSHE,9.37,0.3425827107790822
000417.XSHE,4.17,0.12470023980815359
000419.XSHE,9.78,-0.09304703476482623
000420.XSHE,4.36,0.1834862385321101
000421.XSHE,8.97,0.3500557413600891
000422.XSHE,10.76,0.3466542750929369
000425.XSHE,2.52,0.5158730158730158
000426.XSHE,3.32,0.17469879518072284
000428.XSHE,8.95,0.1061452513966481
000488.XSHE,4.4,0.534090909090909
000501.XSHE,10.69,0.1197380729653883
000503.XSHE,11.03,0.11695376246600198
000504.XSHE,9.84,0.4380081300813008
000507.XSHE,6.52,0.06748466257668717
000510.XSHE,7.36,0.2730978260869563
000511.XSHE,6.35,0.03307086614173227
000518.XSHE,5.7,0.12631578947368416
000520.XSHE,11.49,-0.015665796344647487
000522.XSHE,10.11,0.1454005934718101
000524.XSHE,6.63,0.3227752639517345
000525.XSHE,9.44,0.17161016949152552
000527.XSHE,12.18,0.08702791461412152
000528.XSHE,10.06,0.23558648111331992
000530.XSHE,4.18,0.13397129186602874
000531.XSHE,5.44,0.023897058823529438
000532.XSHE,8.55,0.6280701754385964
000533.XSHE,8.32,0.29447115384615374
000537.XSHE,9.33,0.7320471596998928
000538.XSHE,16.32,0.007352941176470562
000539.XSHE,8.68,0.17396313364055294
000541.XSHE,5.66,0.07067137809187263
000543.XSHE,8.58,0.10372960372960383
000548.XSHE,17.73,-0.08742244782853925
000550.XSHE,11.65,0.2592274678111588
000551.XSHE,6.09,0.2561576354679804
000554.XSHE,12.59,0.08181096108022246
000559.XSHE,3.73,0.46380697050938346
000562.XSHE,18.1,0.024861878453038555
000563.XSHE,3.94,0.1624365482233503
000568.XSHE,23.14,0.06914433880726012
000570.XSHE,9.47,0.08130939809926074
000571.XSHE,7.13,0.016830294530154388
000572.XSHE,19.06,0.002623294858342007
000573.XSHE,7.02,0.02279202279202286
000576.XSHE,5.65,0.13982300884955756
000581.XSHE,9.02,0.07095343680709543
000584.XSHE,10.18,0.0009823182711197198
000585.XSHE,7.02,0.2079772079772082
000589.XSHE,4.89,0.14314928425357887
000594.XSHE,6.75,0.21037037037037032
000597.XSHE,5.23,0.34416826003824075
000598.XSHE,2.82,0.37234042553191493
000599.XSHE,6.18,0.1326860841423949
000601.XSHE,5.38,0.15241635687732358
000602.XSHE,7.53,0.9083665338645417
000607.XSHE,6.24,0.027243589743589647
000608.XSHE,10.43,0.13614573346116976
000612.XSHE,18.84,0.2579617834394905
000616.XSHE,5.64,0.0177304964539009
000617.XSHE,21.01,0.293193717277487
000619.XSHE,11.84,0.02195945945945943
000623.XSHE,26.24,0.19664634146341475
000625.XSHE,6.37,0.3108320251177392
000626.XSHE,3.64,0.18406593406593386
000627.XSHE,4.15,0.24337349397590358
000630.XSHE,4.19,0.1885441527446301
000636.XSHE,9.84,0.3739837398373984
000652.XSHE,19.22,-0.02809573361082207
000657.XSHE,15.84,0.2582070707070707
000659.XSHE,6.95,0.19136690647482002
000662.XSHE,8.26,0.04479418886198561
000666.XSHE,11.14,0.07271095152603224
000667.XSHE,5.44,0.09742647058823506
000676.XSHE,5.06,0.1383399209486167
000677.XSHE,5.74,0.18292682926829262
