code,leverage,sharpe_ratio_20,ROC20,VOL20,liquidity,BIAS20,residual_volatility,MFI14,earnings_yield,momentum,ATR,MTM,MACD,RSI,PSY,CYR
000002.XSHE,0.453356,9.990367,12.544803,0.7655,0.178687,8.53785,0.41355,73.754449,0.258647,-0.723788,0.14499999999999985,0.1200000000000001,0.11901301976857018,77.028556091892,66.66666666666666,0.7437427553199427
000005.XSHE,-0.919421,2.981553,6.31068,1.213,0.055855,9.637046,-0.18814,88.566349,-1.678386,-0.210551,0.5121428571428572,0.5800000000000001,0.41227529339392155,68.69560308789985,66.66666666666666,0.813613680256009
000006.XSHE,2.335084,57.06696,34.306569,2.2455,0.359087,30.104296,0.941429,94.856093,1.140361,-0.315175,0.15571428571428575,-0.05999999999999961,0.11488652321636017,73.95930907882942,83.33333333333334,0.35402535261008783
000009.XSHE,0.88803,0.977212,1.581028,1.389,0.48397,10.537634,0.080067,83.348637,-0.911386,0.093979,0.29642857142857126,0.23000000000000043,0.20926363751169852,73.17988014111404,66.66666666666666,0.4731263926316176
000012.XSHE,-0.63065,18.747397,21.350078,2.8845,1.439508,16.58246,0.415382,86.892633,-0.06949,0.144023,0.2057142857142857,0.6299999999999999,0.31875919365830085,87.91709837697016,83.33333333333334,1.875386277834168
000016.XSHE,-0.660924,0.145599,0.8,2.9165,1.225823,4.847098,0.624721,80.124207,-1.284332,-0.023904,0.21428571428571422,-0.1299999999999999,0.125953566905609,65.86072176536443,66.66666666666666,0.23418579123768435
000021.XSHE,-1.058057,8.393941,12.706612,1.8515,0.409921,7.487685,1.703738,77.254224,-1.087821,1.239466,0.6900000000000001,0.5899999999999999,0.7344255807027984,81.0928683490932,75.0,0.9344434801367374
000024.XSHE,0.182107,9.339372,14.89573,2.5105,1.478172,11.609511,1.332106,79.88715,0.742914,-0.778354,0.2649999999999998,0.040000000000000036,0.22011381261173485,61.957819154687435,66.66666666666666,0.2687338599794087
000027.XSHE,-0.080198,2.35415,4.710921,0.936,0.137737,6.885246,-1.264788,78.119885,0.638111,-0.310836,0.2721428571428573,-0.2699999999999996,0.11539286945925004,67.37206461647223,50.0,0.24181541574848087
000028.XSHE,-0.540495,-1.502867,-8.796622,0.7835,-1.145507,3.864879,1.324389,54.410689,-1.322836,0.746194,0.2635714285714284,0.6799999999999997,0.11939571393317772,73.68971363220192,58.333333333333336,0.5367414793104652
000029.XSHE,0.021709,3.132662,9.561753,1.24,-0.335251,11.959288,0.960361,84.284997,-2.666331,-0.18415,0.3085714285714286,-0.21999999999999886,0.3273996664260618,73.75795675074475,66.66666666666666,0.49599561643132173
000031.XSHE,-0.127162,5.37064,9.482759,0.7185,-0.421237,8.678599,0.648173,77.178609,-1.246175,-0.428621,0.35071428571428537,-0.040000000000000924,0.11560120262738158,65.16032117166993,66.66666666666666,0.34992555851729445
000039.XSHE,0.168501,0.755919,2.302026,0.49,-0.60031,8.825546,-0.528359,79.564231,-0.612653,0.408485,0.2514285714285714,0.5,0.16063688671353024,82.28307949100714,66.66666666666666,0.5038677638026234
000040.XSHE,0.182902,2.240343,6.25,1.872,-0.170251,8.013937,0.140453,75.139843,-1.55921,-0.332675,0.3799999999999998,-0.5800000000000001,0.29868159110211534,65.86813755013875,66.66666666666666,0.27452779007814954
000042.XSHE,1.490293,8.952287,15.031646,1.2175,-0.488483,17.570955,0.741206,91.411293,1.339095,-0.249569,0.14357142857142868,0.03000000000000025,0.09733485147082473,68.37665864411065,66.66666666666666,0.29274585239669193
000046.XSHE,1.353086,3.556336,8.247423,1.562,0.807949,11.553785,0.963685,76.910813,-1.606959,-0.627684,0.10785714285714278,0.0600000000000005,0.037175068035663145,62.068472803745536,58.333333333333336,0.08170551070569854
000050.XSHE,2.335084,13.187167,22.926094,5.7195,1.667838,5.49479,1.698216,65.841502,-1.77924,0.441019,0.3128571428571428,0.6699999999999999,0.14676074281281615,72.52367979885624,75.0,0.463062452669627
000059.XSHE,2.335084,-0.82425,-4.2007,0.9155,-0.356004,7.306234,-0.39771,78.930143,1.228063,-0.292138,0.4642857142857145,-0.3200000000000003,0.24001747165197085,65.26413880929213,75.0,0.38098046118002493
000060.XSHE,-0.483211,2.928431,7.13246,1.146,0.622187,11.363292,-0.316639,79.94028,-0.274837,0.225958,0.7221428571428576,3.3099999999999987,0.24723447617278005,71.58995321557684,66.66666666666666,0.7408523513618093
000061.XSHE,-0.614525,-0.714143,-2.422145,1.0725,0.580596,3.880157,0.872928,62.049965,-1.581303,1.053717,0.18285714285714288,0.05999999999999961,0.10490374743363501,68.8932182341179,66.66666666666666,0.3196503166203124
